Word	CEFR	Part of Speech
idea	“A1”	Noun
other	“A1”	Pronoun
ensure	“A1”	Verb
these	“A1”	Pronoun
hour	“A1”	Noun
pay	“A1”	Verb
hand	“A1”	Noun
side	“A1”	Noun
cover	“A1”	Verb
believe	“A1”	Verb
across	“A1”	Preposition
young	“A1”	Adjective
four	“A1”	Number
Wales	“A1”	Noun
one	“A1”	Pronoun
much	“A1”	Determiner
once	“A1”	Adverb
Scottish	“A1”	Adjective
turn	“A1”	Verb
those	“A1”	Determiner
let	“A1”	Verb
both	“A1”	Pronoun
word	“A1”	Noun
type	“A1”	Noun
cost	“A1”	Noun
lot	“A1”	Noun
second	“A1”	Number
big	“A1”	Adjective
on	“A1”	Adverb
special	“A1”	Adjective
where	“A1”	Conjunction
Internet	“A1”	Noun
late	“A1”	Adverb
expect	“A1”	Verb
no	“A1”	Pronoun
apply	“A1”	Verb
action	“A1”	Noun
yet	“A1”	Adverb
person	“A1”	Noun
easy	“A1”	Adjective
reason	“A1”	Noun
only	“A1”	Adjective
ever	“A1”	Adverb
today	“A1”	Noun
contain	“A1”	Verb
Ireland	“A1”	Noun
real	“A1”	Adjective
body	“A1”	Noun
publish	“A1”	Verb
centre	“A1”	Noun
short	“A1”	Adjective
organisation	“A1”	Noun
money	“A1”	Noun
happen	“A1”	Verb
hear	“A1”	Verb
house	“A1”	Noun
join	“A1”	Verb
understand	“A1”	Verb
grow	“A1”	Verb
choose	“A1”	Verb
clear	“A1”	Adjective
decide	“A1”	Verb
friend	“A1”	Noun
most	“A1”	Pronoun
most	“A1”	Determiner
lose	“A1”	Verb
date	“A1”	Noun
water	“A1”	Noun
almost	“A1”	Adverb
quite	“A1”	Adverb
manage	“A1”	Verb
whole	“A1”	Adjective
five	“A1”	Number
Jesus	“A1”	Noun
age	“A1”	Noun
job	“A1”	Noun
minute	“A1”	Noun
buy	“A1”	Verb
open	“A1”	Adjective
spend	“A1”	Verb
top	“A1”	Adjective
open	“A1”	Verb
room	“A1”	Noun
currently	“A1”	Adverb
night	“A1”	Noun
market	“A1”	Noun
each	“A1”	Pronoun
pass	“A1”	Verb
building	“A1”	Noun
matter	“A1”	Noun
hope	“A1”	Verb
soon	“A1”	Adverb
agree	“A1”	Verb
strong	“A1”	Adjective
enjoy	“A1”	Verb
establish	“A1”	Verb
towards	“A1”	Preposition
themselves	“A1”	Pronoun
field	“A1”	Noun
paper	“A1”	Noun
especially	“A1”	Adverb
woman	“A1”	Noun
wish	“A1”	Verb
along	“A1”	Preposition
first	“A1”	Adverb
until	“A1”	Preposition
though	“A1”	Conjunction
since	“A1”	Preposition
probably	“A1”	Adverb
office	“A1”	Noun
bad	“A1”	Adjective
key	“A1”	Adjective
speak	“A1”	Verb
enable	“A1”	Verb
bit	“A1”	Noun
car	“A1”	Noun
stage	“A1”	Noun
seek	“A1”	Verb
price	“A1”	Noun
hard	“A1”	Adjective
party	“A1”	Noun
record	“A1”	Noun
since	“A1”	Conjunction
kind	“A1”	Noun
win	“A1”	Verb
addition	“A1”	Noun
head	“A1”	Noun
right	“A1”	Adjective
perhaps	“A1”	Adverb
user	“A1”	Noun
difficult	“A1”	Adjective
nothing	“A1”	Noun
stand	“A1”	Verb
fall	“A1”	Verb
France	“A1”	Noun
space	“A1”	Noun
sure	“A1”	Adjective
game	“A1”	Noun
explain	“A1”	Verb
ground	“A1”	Noun
above	“A1”	Preposition
serve	“A1”	Verb
likely	“A1”	Adjective
draw	“A1”	Verb
care	“A1”	Noun
actually	“A1”	Adverb
America	“A1”	Noun
usually	“A1”	Adverb
anything	“A1”	Pronoun
place	“A1”	Verb
million	“A1”	Number
American	“A1”	Adjective
certain	“A1”	Adjective
remember	“A1”	Verb
response	“A1”	Noun
less	“A1”	Pronoun
United States	“A1”	Noun
road	“A1”	Noun
little	“A1”	Determiner
choice	“A1”	Noun
amount	“A1”	Noun
Christ	“A1”	Noun
American	“A1”	Noun
among	“A1”	Preposition
stop	“A1”	Verb
long	“A1”	Adverb
maintain	“A1”	Verb
talk	“A1”	Verb
music	“A1”	Noun
sell	“A1”	Verb
six	“A1”	Number
French	“A1”	Adjective
food	“A1”	Noun
size	“A1”	Noun
city	“A1”	Noun
news	“A1”	Noun
mind	“A1”	Noun
anyone	“A1”	Pronoun
per	“A1”	Preposition
situation	“A1”	Noun
third	“A1”	Number
sense	“A1”	Noun
Christmas	“A1”	Noun
significant	“A1”	Adjective
someone	“A1”	Pronoun
break	“A1”	Verb
story	“A1”	Noun
difference	“A1”	Noun
few	“A1”	Pronoun
ago	“A1”	Adverb
picture	“A1”	Noun
chance	“A1”	Noun
step	“A1”	Noun
town	“A1”	Noun
everyone	“A1”	Pronoun
bear	“A1”	Verb
forward	“A1”	Adverb
1	“A1”	Adjective
end	“A1”	Verb
face	“A1”	Verb
computer	“A1”	Noun
drive	“A1”	Verb
whose	“A1”	Determiner
Christian	“A1”	Noun
check	“A1”	Verb
die	“A1”	Verb
help	“A1”	Noun
light	“A1”	Noun
sit	“A1”	Verb
save	“A1”	Verb
sometimes	“A1”	Adverb
German	“A1”	Adjective
content	“A1”	Noun
past	“A1”	Adjective
focus	“A1”	Verb
behind	“A1”	Preposition
promote	“A1”	Verb
relevant	“A1”	Adjective
heart	“A1”	Noun
walk	“A1”	Verb
language	“A1”	Noun
Germany	“A1”	Noun
early	“A1”	Adverb
piece	“A1”	Noun
up	“A1”	Adjective
until	“A1”	Conjunction
copy	“A1”	Noun
close	“A1”	Adjective
impact	“A1”	Noun
eye	“A1”	Noun
solution	“A1”	Noun
interested	“A1”	Adjective
obtain	“A1”	Verb
post	“A1”	Verb
letter	“A1”	Noun
sale	“A1”	Noun
instead	“A1”	Adverb
moment	“A1”	Noun
rest	“A1”	Noun
top	“A1”	Noun
thus	“A1”	Adverb
organise	“A1”	Verb
degree	“A1”	Noun
despite	“A1”	Preposition
everything	“A1”	Pronoun
stay	“A1”	Verb
media	“A1”	Noun
show	“A1”	Noun
off	“A1”	Preposition
least	“A1”	Adverb
land	“A1”	Noun
interesting	“A1”	Adjective
love	“A1”	Verb
else	“A1”	Adverb
start	“A1”	Noun
parent	“A1”	Noun
poor	“A1”	Adjective
charge	“A1”	Noun
wait	“A1”	Verb
near	“A1”	Preposition
location	“A1”	Noun
analysis	“A1”	Noun
unit	“A1”	Noun
operation	“A1”	Noun
compare	“A1”	Verb
arrive	“A1”	Verb
around	“A1”	Adverb
colour	“A1”	Noun
teach	“A1”	Verb
watch	“A1”	Verb
test	“A1”	Noun
himself	“A1”	Pronoun
society	“A1”	Noun
depend	“A1”	Verb
reflect	“A1”	Verb
couple	“A1”	Noun
table	“A1”	Noun
directly	“A1”	Adverb
film	“A1”	Noun
club	“A1”	Noun
happy	“A1”	Adjective
certainly	“A1”	Adverb
author	“A1”	Noun
outside	“A1”	Preposition
post	“A1”	Noun
player	“A1”	Noun
least	“A1”	Pronoun
close	“A1”	Verb
natural	“A1”	Adjective
indeed	“A1”	Adverb
means	“A1”	Noun
right	“A1”	Adverb
central	“A1”	Adjective
look	“A1”	Noun
lie	“A1”	Verb
manager	“A1”	Noun
deal	“A1”	Noun
cut	“A1”	Verb
morning	“A1”	Noun
explore	“A1”	Verb
war	“A1”	Noun
call	“A1”	Noun
summer	“A1”	Noun
Christian	“A1”	Adjective
what	“A1”	Determiner
foot	“A1”	Noun
mention	“A1”	Verb
evening	“A1”	Noun
longer	“A1”	Adverb
either	“A1”	Adverb
miss	“A1”	Verb
provision	“A1”	Noun
fill	“A1”	Verb
Australia	“A1”	Noun
sound	“A1”	Noun
essential	“A1”	Adjective
card	“A1”	Noun
answer	“A1”	Noun
quickly	“A1”	Adverb
record	“A1”	Verb
easily	“A1”	Adverb
air	“A1”	Noun
propose	“A1”	Verb
former	“A1”	Adjective
serious	“A1”	Adjective
teacher	“A1”	Noun
shop	“A1”	Noun
ten	“A1”	Number
front	“A1”	Noun
huge	“A1”	Adjective
treat	“A1”	Verb
software	“A1”	Noun
board	“A1”	Noun
communication	“A1”	Noun
technique	“A1”	Noun
face	“A1”	Noun
challenge	“A1”	Noun
client	“A1”	Noun
door	“A1”	Noun
contribute	“A1”	Verb
potential	“A1”	Adjective
mile	“A1”	Noun
box	“A1”	Noun
associate	“A1”	Verb
Irish	“A1”	Adjective
either	“A1”	Conjunction
China	“A1”	Noun
because	“A1”	Preposition
video	“A1”	Noun
fine	“A1”	Adjective
extra	“A1”	Adjective
assessment	“A1”	Noun
entry	“A1”	Noun
season	“A1”	Noun
pressure	“A1”	Noun
principle	“A1”	Noun
safe	“A1”	Adjective
wrong	“A1”	Adjective
define	“A1”	Verb
finish	“A1”	Verb
normal	“A1”	Adjective
sort	“A1”	Noun
progress	“A1”	Noun
demonstrate	“A1”	Verb
half	“A1”	Noun
unless	“A1”	Conjunction
fit	“A1”	Verb
more	“A1”	Determiner
task	“A1”	Noun
window	“A1”	Noun
pick	“A1”	Verb
whom	“A1”	Pronoun
little	“A1”	Adjective
onto	“A1”	Preposition
United Kingdom	“A1”	Noun
sign	“A1”	Noun
church	“A1”	Noun
animal	“A1”	Noun
white	“A1”	Adjective
phone	“A1”	Noun
wall	“A1”	Noun
economic	“A1”	Adjective
sign	“A1”	Verb
thousand	“A1”	Number
officer	“A1”	Noun
partnership	“A1”	Noun
street	“A1”	Noun
machine	“A1”	Noun
collect	“A1”	Verb
growth	“A1”	Noun
importance	“A1”	Noun
improvement	“A1”	Noun
detailed	“A1”	Adjective
station	“A1”	Noun
fun	“A1”	Noun
love	“A1”	Noun
enough	“A1”	Adverb
invite	“A1”	Verb
locate	“A1”	Verb
nearly	“A1”	Adverb
yourself	“A1”	Pronoun
back	“A1”	Noun
whatever	“A1”	Determiner
black	“A1”	Adjective
listen	“A1”	Verb
ready	“A1”	Adjective
thank	“A1”	Verb
forget	“A1”	Verb
seven	“A1”	Number
myself	“A1”	Pronoun
nice	“A1”	Adjective
exactly	“A1”	Adverb
girl	“A1”	Noun
mother	“A1”	Noun
boy	“A1”	Noun
wear	“A1”	Verb
maybe	“A1”	Adverb
bed	“A1”	Noun
eight	“A1”	Number
weekend	“A1”	Noun
father	“A1”	Noun
hot	“A1”	Adjective
little	“A1”	Pronoun
pull	“A1”	Verb
red	“A1”	Adjective
pretty	“A1”	Adverb
park	“A1”	Noun
doctor	“A1”	Noun
chair	“A1”	Noun
green	“A1”	Adjective
bus	“A1”	Noun
stuff	“A1”	Noun
glass	“A1”	Noun
brother	“A1”	Noun
worry	“A1”	Verb
trouble	“A1”	Noun
dead	“A1”	Adjective
drink	“A1”	Noun
expensive	“A1”	Adjective
ball	“A1”	Noun
walk	“A1”	Noun
blue	“A1”	Adjective
bird	“A1”	Noun
nine	“A1”	Number
meal	“A1”	Noun
round	“A1”	Noun
leg	“A1”	Noun
football	“A1”	Noun
sing	“A1”	Verb
quiet	“A1”	Adjective
sun	“A1”	Noun
clean	“A1”	Adjective
middle	“A1”	Noun
fish	“A1”	Noun
horse	“A1”	Noun
dry	“A1”	Adjective
bag	“A1”	Noun
lunch	“A1”	Noun
down	“A1”	Preposition
lovely	“A1”	Adjective
pound	“A1”	Noun
kitchen	“A1”	Noun
wine	“A1”	Noun
husband	“A1”	Noun
yesterday	“A1”	Noun
somewhere	“A1”	Adverb
flower	“A1”	Noun
dinner	“A1”	Noun
fruit	“A1”	Noun
hair	“A1”	Noun
bedroom	“A1”	Noun
sleep	“A1”	Verb
tea	“A1”	Noun
sister	“A1”	Noun
clean	“A1”	Verb
conversation	“A1”	Noun
drink	“A1”	Verb
coffee	“A1”	Noun
mouth	“A1”	Noun
breakfast	“A1”	Noun
rain	“A1”	Noun
sorry	“A1”	Exclamation
ear	“A1”	Noun
taxi	“A1”	Noun
wash	“A1”	Verb
lucky	“A1”	Adjective
finger	“A1”	Noun
plate	“A1”	Noun
bottle	“A1”	Noun
funny	“A1”	Adjective
tomorrow	“A1”	Noun
ring	“A1”	Verb
wet	“A1”	Adjective
clothes	“A1”	Noun
cup	“A1”	Noun
nobody	“A1”	Pronoun
yellow	“A1”	Adjective
cat	“A1”	Noun
quite	“A1”	Determiner
hate	“A1”	Verb
sad	“A1”	Adjective
birthday	“A1”	Noun
laugh	“A1”	Verb
half	“A1”	Adjective
everywhere	“A1”	Adverb
egg	“A1”	Noun
chip	“A1”	Noun
everybody	“A1”	Pronoun
toilet	“A1”	Noun
tall	“A1”	Adjective
yours	“A1”	Pronoun
meat	“A1”	Noun
dry	“A1”	Verb
milk	“A1”	Noun
vegetable	“A1”	Noun
bathroom	“A1”	Noun
cook	“A1”	Verb
brown	“A1”	Adjective
neck	“A1”	Noun
shoe	“A1”	Noun
tooth	“A1”	Noun
bath	“A1”	Noun
trousers	“A1”	Noun
hers	“A1”	Pronoun
a	“A1”	Determiner
I	“A1”	Pronoun
Monday	“A1”	Noun
Tuesday	“A1”	Noun
Wednesday	“A1”	Noun
Thursday	“A1”	Noun
Friday	“A1”	Noun
Saturday	“A1”	Noun
Sunday	“A1”	Noun
January	“A1”	Noun
February	“A1”	Noun
March	“A1”	Noun
April	“A1”	Noun
May	“A1”	Noun
June	“A1”	Noun
July	“A1”	Noun
August	“A1”	Noun
September	“A1”	Noun
October	“A1”	Noun
November	“A1”	Noun
December	“A1”	Noun
hello	“A1”	Exclamation
mummy	“A1”	Noun
bye	“A1”	Exclamation
o'clock	“A1”	Adverb
daddy	“A1”	Noun
pardon	“A1”	Exclamation
thanks	“A1”	Exclamation
darling	“A1”	Noun
English	“A1”	Adjective
that	“A2”	Conjunction
them	“A2”	Pronoun
may	“A2”	Modal verb
follow	“A2”	Verb
area	“A2”	Noun
become	“A2”	Verb
group	“A2”	Noun
set	“A2”	Verb
system	“A2”	Noun
during	“A2”	Preposition
large	“A2”	Adjective
such	“A2”	Pronoun
member	“A2”	Noun
course	“A2”	Noun
world	“A2”	Noun
case	“A2”	Noun
site	“A2”	Noun
offer	“A2”	Verb
allow	“A2”	Verb
him	“A2”	Pronoun
example	“A2”	Noun
company	“A2”	Noun
order	“A2”	Noun
continue	“A2”	Verb
although	“A2”	Conjunction
business	“A2”	Noun
page	“A2”	Noun
add	“A2”	Verb
build	“A2”	Verb
interest	“A2”	Noun
view	“A2”	Noun
opportunity	“A2”	Noun
main	“A2”	Adjective
team	“A2”	Noun
student	“A2”	Noun
begin	“A2”	Verb
programme	“A2”	Noun
history	“A2”	Noun
website	“A2”	Noun
low	“A2”	Adjective
improve	“A2”	Verb
wide	“A2”	Adjective
power	“A2”	Noun
list	“A2”	Noun
data	“A2”	Noun
health	“A2”	Noun
particularly	“A2”	Adverb
visit	“A2”	Verb
plan	“A2”	Noun
suggest	“A2”	Verb
general	“A2”	Adjective
position	“A2”	Noun
therefore	“A2”	Adverb
describe	“A2”	Verb
control	“A2”	Noun
upon	“A2”	Preposition
present	“A2”	Verb
note	“A2”	Noun
meeting	“A2”	Noun
complete	“A2”	Verb
cause	“A2”	Verb
national	“A2”	Adjective
single	“A2”	Adjective
advice	“A2”	Noun
itself	“A2”	Pronoun
decision	“A2”	Noun
similar	“A2”	Adjective
reach	“A2”	Verb
common	“A2”	Adjective
that	“A2”	Adverb
account	“A2”	Noun
necessary	“A2”	Adjective
recently	“A2”	Adverb
rate	“A2”	Noun
education	“A2”	Noun
plan	“A2”	Verb
deliver	“A2”	Verb
original	“A2”	Adjective
simple	“A2”	Adjective
law	“A2”	Noun
enter	“A2”	Verb
note	“A2”	Verb
accept	“A2”	Verb
comment	“A2”	Noun
success	“A2”	Noun
technology	“A2”	Noun
excellent	“A2”	Adjective
present	“A2”	Adjective
property	“A2”	Noun
prepare	“A2”	Verb
successful	“A2”	Adjective
model	“A2”	Noun
useful	“A2”	Adjective
set	“A2”	Noun
human	“A2”	Adjective
requirement	“A2”	Noun
private	“A2”	Adjective
deal	“A2”	Verb
affect	“A2”	Verb
relationship	“A2”	Noun
accord	“A2”	Verb
online	“A2”	Adjective
web	“A2”	Noun
death	“A2”	Noun
text	“A2”	Noun
customer	“A2”	Noun
email	“A2”	Noun
additional	“A2”	Adjective
prove	“A2”	Verb
effort	“A2”	Noun
discussion	“A2”	Noun
share	“A2”	Verb
art	“A2”	Noun
network	“A2”	Noun
ability	“A2”	Noun
fail	“A2”	Verb
complete	“A2”	Adjective
figure	“A2”	Noun
style	“A2”	Noun
visit	“A2”	Noun
strategy	“A2”	Noun
modern	“A2”	Adjective
address	“A2”	Verb
rule	“A2”	Noun
message	“A2”	Noun
act	“A2”	Verb
character	“A2”	Noun
below	“A2”	Preposition
below	“A2”	Adverb
popular	“A2”	Adjective
attention	“A2”	Noun
regular	“A2”	Adjective
highly	“A2”	Adverb
generally	“A2”	Adverb
claim	“A2”	Verb
basic	“A2”	Adjective
percent	“A2”	Noun
beyond	“A2”	Preposition
tool	“A2”	Noun
study	“A2”	Verb
undertake	“A2”	Verb
address	“A2”	Noun
partner	“A2”	Noun
unique	“A2”	Adjective
replace	“A2”	Verb
travel	“A2”	Verb
equipment	“A2”	Noun
session	“A2”	Noun
file	“A2”	Noun
publication	“A2”	Noun
discover	“A2”	Verb
security	“A2”	Noun
leader	“A2”	Noun
background	“A2”	Noun
track	“A2”	Noun
total	“A2”	Adjective
energy	“A2”	Noun
suffer	“A2”	Verb
direction	“A2”	Noun
department	“A2”	Noun
measure	“A2”	Noun
aware	“A2”	Adjective
launch	“A2”	Verb
difficulty	“A2”	Noun
control	“A2”	Verb
funding	“A2”	Noun
teaching	“A2”	Noun
immediately	“A2”	Adverb
list	“A2”	Verb
express	“A2”	Verb
route	“A2”	Noun
respect	“A2”	Noun
suitable	“A2”	Adjective
through	“A2”	Adverb
catch	“A2”	Verb
shall	“A2”	Modal verb
alone	“A2”	Adverb
completely	“A2”	Adverb
university	“A2”	Noun
holiday	“A2”	Noun
combine	“A2”	Verb
proposal	“A2”	Noun
goal	“A2”	Noun
contract	“A2”	Noun
survey	“A2”	Noun
Israel	“A2”	Noun
village	“A2”	Noun
assist	“A2”	Verb
worth	“A2”	Adjective
point	“A2”	Verb
beautiful	“A2”	Adjective
reading	“A2”	Noun
floor	“A2”	Noun
science	“A2”	Noun
African	“A2”	Noun
garden	“A2”	Noun
band	“A2”	Noun
play	“A2”	Noun
initiative	“A2”	Noun
thought	“A2”	Noun
bar	“A2”	Noun
arrange	“A2”	Verb
technical	“A2”	Adjective
Canada	“A2”	Noun
realise	“A2”	Verb
existing	“A2”	Adjective
deep	“A2”	Adjective
voice	“A2”	Noun
circumstances	“A2”	Noun
extremely	“A2”	Adverb
trip	“A2”	Noun
objective	“A2”	Noun
kill	“A2”	Verb
examine	“A2”	Verb
name	“A2”	Verb
award	“A2”	Noun
separate	“A2”	Adjective
format	“A2”	Noun
fire	“A2”	Noun
tree	“A2”	Noun
focus	“A2”	Noun
except	“A2”	Preposition
eat	“A2”	Verb
police	“A2”	Noun
normally	“A2”	Adverb
description	“A2”	Noun
firm	“A2”	Noun
press	“A2”	Noun
hospital	“A2”	Noun
bank	“A2”	Noun
memory	“A2”	Noun
half	“A2”	Determiner
son	“A2”	Noun
nor	“A2”	Conjunction
surface	“A2”	Noun
council	“A2”	Noun
speed	“A2”	Noun
perfect	“A2”	Adjective
song	“A2”	Noun
library	“A2”	Noun
generate	“A2”	Verb
sport	“A2”	Noun
court	“A2”	Noun
before	“A2”	Adverb
telephone	“A2”	Noun
move	“A2”	Noun
credit	“A2”	Noun
theme	“A2”	Noun
status	“A2”	Noun
Bible	“A2”	Noun
map	“A2”	Noun
reader	“A2”	Noun
arise	“A2”	Verb
test	“A2”	Verb
length	“A2”	Noun
plant	“A2”	Noun
submit	“A2”	Verb
Italy	“A2”	Noun
answer	“A2”	Verb
lay	“A2”	Verb
hit	“A2”	Verb
guidance	“A2”	Noun
wife	“A2”	Noun
talk	“A2”	Noun
mark	“A2”	Verb
assume	“A2”	Verb
own	“A2”	Verb
distance	“A2”	Noun
protection	“A2”	Noun
screen	“A2”	Noun
handle	“A2”	Verb
argue	“A2”	Verb
throw	“A2”	Verb
less	“A2”	Adverb
head	“A2”	Verb
interview	“A2”	Noun
plus	“A2”	Conjunction
Spain	“A2”	Noun
eventually	“A2”	Adverb
tend	“A2”	Verb
Japan	“A2”	Noun
global	“A2”	Adjective
pattern	“A2”	Noun
none	“A2”	Pronoun
turn	“A2”	Noun
quick	“A2”	Adjective
Jewish	“A2”	Adjective
environmental	“A2”	Adjective
fight	“A2”	Verb
cost	“A2”	Verb
construction	“A2”	Noun
either	“A2”	Determiner
famous	“A2”	Adjective
debate	“A2”	Noun
mainly	“A2”	Adverb
workshop	“A2”	Noun
drop	“A2”	Verb
otherwise	“A2”	Adverb
exercise	“A2”	Noun
beginning	“A2”	Noun
failure	“A2”	Noun
regulation	“A2”	Noun
race	“A2”	Noun
sea	“A2”	Noun
employee	“A2”	Noun
doubt	“A2”	Noun
storey	“A2”	Noun
ahead	“A2”	Adverb
damage	“A2”	Noun
investigate	“A2”	Verb
fix	“A2”	Verb
critical	“A2”	Adjective
light	“A2”	Adjective
potential	“A2”	Noun
employment	“A2”	Noun
photo	“A2”	Noun
thanks	“A2”	Noun
capital	“A2”	Noun
match	“A2”	Verb
capacity	“A2”	Noun
edge	“A2”	Noun
feeling	“A2”	Noun
train	“A2”	Verb
whole	“A2”	Noun
drug	“A2”	Noun
reality	“A2”	Noun
apart	“A2”	Adverb
comprehensive	“A2”	Adjective
rich	“A2”	Adjective
outcome	“A2”	Noun
possibly	“A2”	Adverb
Italian	“A2”	Adjective
usual	“A2”	Adjective
slightly	“A2”	Adverb
fan	“A2”	Noun
charge	“A2”	Verb
Chinese	“A2”	Adjective
spirit	“A2”	Noun
committee	“A2”	Noun
star	“A2”	Noun
highlight	“A2”	Verb
consideration	“A2”	Noun
resident	“A2”	Noun
argument	“A2”	Noun
enough	“A2”	Determiner
fair	“A2”	Adjective
effectively	“A2”	Adverb
purchase	“A2”	Verb
magazine	“A2”	Noun
unfortunately	“A2”	Adverb
representative	“A2”	Noun
journey	“A2”	Noun
fast	“A2”	Adjective
heavy	“A2”	Adjective
above	“A2”	Adjective
once	“A2”	Conjunction
second	“A2”	Noun
wonderful	“A2”	Adjective
path	“A2”	Noun
sound	“A2”	Verb
